date,TCOO0000
2007-01-01,165.42845161290322
2007-02-01,160.19985714285716
2007-03-01,152.70587096774193
2007-04-01,148.54716666666667
2007-05-01,110.34
2007-06-01,128.46096666666668
2007-07-01,158.39748387096773
2007-08-01,159.98012903225808
2007-09-01,159.6842
2007-10-01,134.72564516129032
2007-11-01,159.19930000000002
2007-12-01,167.19406451612906
2008-01-01,156.60425806451613
2008-02-01,146.2493448275862
2008-03-01,158.24948387096777
2008-04-01,148.884
2008-05-01,157.36293548387096
2008-06-01,147.99796666666668
2008-07-01,151.07945161290326
2008-08-01,165.00859999999997
2008-09-01,164.39336666666668
2008-10-01,159.1686451612903
2008-11-01,158.0146451612903
2008-12-01,152.25532258064513
2009-01-01,158.04583870967744
2009-02-01,146.79
2009-03-01,154.46212903225808
2009-04-01,161.93506666666664
2009-05-01,152.1741612903226
2009-06-01,157.58686666666665
2009-07-01,156.10906451612905
2009-08-01,159.4731935483871
2009-09-01,157.59239999999997
2009-10-01,158.13409677419352
2009-11-01,152.48003333333332
2009-12-01,150.68296774193547
2010-01-01,153.16164516129032
2010-02-01,141.83482142857142
2010-03-01,92.43264516129032
2010-04-01,105.46366666666668
2010-05-01,137.9126129032258
2010-06-01,149.1156
2010-07-01,153.16425806451613
2010-08-01,131.4481612903226
2010-09-01,139.2351666666667
2010-10-01,139.08070967741938
2010-11-01,149.89306666666664
2010-12-01,146.37829032258065
2011-01-01,160.48455258064516
2011-02-01,151.03301785714285
2011-03-01,156.18072903225806
2011-04-01,156.44897966666667
2011-05-01,149.79499806451614
2011-06-01,161.623634
2011-07-01,164.33470548387098
2011-08-01,158.60504193548388
2011-09-01,162.06301833333336
2011-10-01,152.02761064516127
2011-11-01,152.65789066666667
2011-12-01,147.1835622580645
2012-01-01,144.52987451612904
2012-02-01,161.85689344827586
2012-03-01,153.6596364516129
2012-04-01,160.03067599999997
2012-05-01,151.1714183870968
2012-06-01,157.60440566666665
2012-07-01,136.63909516129033
2012-08-01,152.90182
2012-09-01,149.384783
2012-10-01,151.21721649780645
2012-11-01,160.79583200000005
2012-12-01,143.88956225806453
2013-01-01,158.01600161290324
2013-02-01,110.44289964285714
2013-03-01,113.27418322580648
2013-04-01,119.80656500000002
2013-05-01,160.1619070967742
2013-06-01,147.31779366666666
2013-07-01,153.1062077419355
2013-08-01,151.19469451612903
2013-09-01,157.645239
2013-10-01,146.5724538709677
2013-11-01,150.37070266666666
2013-12-01,117.77729106451612
2014-01-01,155.05241935483872
2014-02-01,146.41773913412857
2014-03-01,133.2880496717871
2014-04-01,143.15208344376666
2014-05-01,137.6149408108032
2014-06-01,160.88903333333334
2014-07-01,123.40022580645162
2014-08-01,115.36187677419356
2014-09-01,120.76691200000002
2014-10-01,63.414292258064506
2014-11-01,93.794748
2014-12-01,113.79195085959678
2015-01-01,107.94341258064516
2015-02-01,118.4458125
2015-03-01,129.03280462379033
2015-04-01,131.15638749287666
2015-05-01,108.525739682
2015-06-01,113.13573742613669
2015-07-01,116.21365225806451
2015-08-01,116.09833104771288
2015-09-01,109.59267686712334
2015-10-01,111.61217131519678
2015-11-01,120.10395949423668
2015-12-01,165.63176555503225
2016-01-01,157.99916611564836
2016-02-01,164.45246051016207
2016-03-01,172.55685534442904
2016-04-01,160.0867160472067
2016-05-01,140.43396289181936
2016-06-01,143.41501514966
2016-07-01,143.3065600645161
2016-08-01,147.28340620039677
2016-09-01,148.69249492107002
2016-10-01,135.92959369175162
2016-11-01,148.01182346110332
2016-12-01,140.8126127694129
2017-01-01,147.94484319853223
2017-02-01,139.31310209805358
2017-03-01,141.0635113313774
2017-04-01,100.20025847033337
2017-05-01,160.05869898659355
2017-06-01,164.80592929215666
2017-07-01,173.6126726203452
2017-08-01,170.70229475223226
2017-09-01,166.6219213170633
2017-10-01,168.70218309110643
2017-11-01,165.21314747368666
2017-12-01,171.74287220154838
2018-01-01,173.0885302931387
2018-02-01,166.94575788872143
2018-03-01,160.86361502493548
2018-04-01,158.45280106969665
2018-05-01,163.05688936479353
2018-06-01,162.94989371402002
2018-07-01,163.2526295174387
2018-08-01,157.41087457794515
2018-09-01,161.54600026132667
2018-10-01,132.46751045973872
2018-11-01,157.38256046455
2018-12-01,154.50410973163227
2019-01-01,161.8959259801645
2019-02-01,160.70001209692856
2019-03-01,109.47908111196452
2019-04-01,105.12559871409331
2019-05-01,160.7484159601226
2019-06-01,154.45519436684998
2019-07-01,163.58349693498064
2019-08-01,153.75445586435805
2019-09-01,154.32325878234334
2019-10-01,125.1386775529516
2019-11-01,143.35528505978334
2019-12-01,120.61771455854516
2020-01-01,150.22594217557742
2020-02-01,132.1388796536793
2020-03-01,149.75083494227746
2020-04-01,29.333416000000003
2020-05-01,24.740265699225805
2020-06-01,115.69578440371332
2020-07-01,126.65230503548388
2020-08-01,139.51958799264514
2020-09-01,138.17709863606666
2020-10-01,131.04999270551937
2020-11-01,147.83947640526
2020-12-01,116.614476675871
2021-01-01,141.2286746598613
2021-02-01,130.32881945439286
2021-03-01,114.1723180534742
2021-04-01,141.62158577504
2021-05-01,163.9563124932484
2021-06-01,151.20169
2021-07-01,160.97742881207742
2021-08-01,159.52846093393225
2021-09-01,152.75153313279333
2021-10-01,168.98076037211612
2021-11-01,170.06005917107333
2021-12-01,102.49722553928711
2022-01-01,138.9364695846129
2022-02-01,168.41389014631432
2022-03-01,167.39227195109677
2022-04-01,170.91647168494
2022-05-01,153.25811541214838
2022-06-01,155.48946023017666
2022-07-01,149.34458063799354
2022-08-01,146.7385046139871
2022-09-01,153.51946919146667
2022-10-01,126.4660911786226
2022-11-01,159.91458949300667
2022-12-01,164.87586721394197
2023-01-01,162.98019018798385
2023-02-01,140.58921123340355
2023-03-01,150.6810100892871
2023-04-01,165.33632852975668
2023-05-01,135.97521227345163
2023-06-01,149.71612791420665
2023-07-01,121.78152250075485
2023-08-01,138.82492155757097
2023-09-01,147.39768559813334
2023-10-01,147.2044258529484
2023-11-01,143.11054131895
2023-12-01,151.3378312132129
2024-01-01,135.5292187979129
2024-02-01,131.31282788159655
2024-03-01,127.4208275951
2024-04-01,147.09217625460667
2024-05-01,124.84040093156771
2024-06-01,127.56703124543
2024-07-01,136.15753516149354


 Definition: Consumo petrolero. Source: BCE
